Issue ID,Parent,Issue Type,Summary,Description,Priority,Labels,Labels,Labels,Component,Assignee,Reporter,Story point estimate,Original Estimate,Sprint,Start date,Due date,Fix Version,Status
1001,,Epic,FND: Foundation & Shared Platform,"Goal: A shared, multi-tenant platform base that all three products build on, so nothing is written twice. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",Highest,school-management,epic,phase1,Foundation & Shared Platform,SD1,project-lead,8,129600,Sprint 1,14/Sep/26,27/Jan/27,SMS-MVP-1.0,To Do
1002,,Epic,SMS-SIS: School MMS - Admissions & Student Info,"Goal: A school can be set up and every student and staff record loaded from their existing spreadsheets in under a day. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,school-management,epic,phase1,School MMS - Admissions & Student Info,SD1,project-lead,10,144000,Sprint 1,15/Sep/26,24/Sep/26,SMS-MVP-1.0,To Do
1003,,Epic,SMS-ATT: School MMS - Attendance,"Goal: A teacher marks a full class in under 30 seconds and the parent knows about an absence the same day. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,school-management,epic,phase1,School MMS - Attendance,SD2,project-lead,6,86400,Sprint 2,23/Sep/26,25/Sep/26,SMS-MVP-1.0,To Do
1004,,Epic,SMS-FEE: School MMS - Fees & Payments,"Goal: Every rupee collected is receipted, reconciled and traceable, and the office can find any payment in seconds. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,school-management,epic,phase1,School MMS - Fees & Payments,SD2,project-lead,6,86400,Sprint 2,24/Sep/26,06/Oct/26,SMS-MVP-1.0,To Do
1005,,Epic,SMS-EXM: School MMS - Exams & Report Cards,"Goal: Marks go in once and a CBSE-format report card comes out correct, branded and ready to print. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,school-management,epic,phase1,School MMS - Exams & Report Cards,SD2,project-lead,4,57600,Sprint 3,01/Oct/26,05/Oct/26,SMS-MVP-1.0,To Do
1006,,Epic,"SMS-PRT: School MMS - Timetable, Portal & Comms","Goal: Parents and students see attendance, fees, marks and circulars without calling the school office. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,school-management,epic,phase1,School MMS - Timetable; Portal & Comms,SD1,project-lead,8,129600,Sprint 4,12/Oct/26,08/Jan/27,SMS-MVP-1.0,To Do
1007,,Epic,CMP: DPDP Compliance & Child Data Safety,"Goal: Verifiable parental consent and a full audit trail are in the product before the first child record exists. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,school-management,epic,phase1,DPDP Compliance & Child Data Safety,JD2,project-lead,10,216000,Sprint 3,01/Oct/26,21/Dec/26,SMS-MVP-1.0,To Do
1008,,Epic,PLT: Pilot School & Rollout,"Goal: One real school runs on the product, with migrated data, trained staff and a signed go-live. | Track: School Management. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",Highest,school-management,epic,phase1,Pilot School & Rollout,JD2,project-lead,24,403200,Sprint 1,14/Sep/26,12/Jan/27,SMS-MVP-1.0,To Do
1009,,Epic,QBK: Question Bank Platform,"Goal: One question bank that stores every exam format cleanly, with review state and versioning on every item. | Track: Question Paper Gen. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",Highest,question-paper-gen,epic,phase1,Question Bank Platform,SD1,project-lead,6,86400,Sprint 4,09/Oct/26,12/Oct/26,QPG-1.0,To Do
1010,,Epic,QPG: Question Paper Generator,"Goal: A teacher turns a blueprint into a branded, multi-set question paper with answer keys in minutes. | Track: Question Paper Gen. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,question-paper-gen,epic,phase1,Question Paper Generator,SD2,project-lead,12,187200,Sprint 5,23/Oct/26,29/Oct/26,QPG-1.0,To Do
1011,,Epic,AIG: AI Question Generation Pipeline,"Goal: AI drafts questions at volume and a human approves them, with every numerical answer independently verified. | Track: Question Paper Gen. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,question-paper-gen,epic,phase1,AI Question Generation Pipeline,SD2,project-lead,6,129600,Sprint 4,14/Oct/26,30/Oct/26,QPG-1.0,To Do
1012,,Epic,ASM: Assessment Engine Core,"Goal: One engine that runs any exam as configuration, so adding a new exam costs days rather than weeks. | Track: Assessment Tool. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",Highest,assessment-tool,epic,phase1,Assessment Engine Core,SD2,project-lead,22,316800,Sprint 6,04/Nov/26,27/Nov/26,ASSESS-1.0,To Do
1013,,Epic,EXC: Exam Configurations (JEE/GATE/NET),"Goal: JEE Main, JEE Advanced, GATE CS/DA/EC and UGC-NET all run correctly as configuration on the shared engine. | Track: Assessment Tool. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,assessment-tool,epic,phase1,Exam Configurations (JEE/GATE/NET),SD2,project-lead,6,86400,Sprint 7,18/Nov/26,25/Nov/26,ASSESS-1.0,To Do
1014,,Epic,CNT: Content Production & Review,"Goal: Enough verified, correctly tagged questions per exam that a student can sit a realistic full-length mock. | Track: Assessment Tool. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",Highest,assessment-tool,epic,phase1,Content Production & Review,JD2,project-lead,62,1310400,Sprint 1,17/Sep/26,28/Jan/27,ASSESS-1.0,To Do
1015,,Epic,RND: Research & Engine Design,"Goal: Every exam rule is understood and written down before code is written, so the engine is designed once. | Track: Assessment Tool. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,assessment-tool,epic,phase1,Research & Engine Design,SD1,project-lead,14,273600,Sprint 1,17/Sep/26,27/Jan/27,ASSESS-1.0,To Do
1016,,Epic,"QAT: QA, Security & Performance","Goal: Nothing reaches a school or a student untested, and a regression run gives confidence to ship any day. | Track: Cross-cutting. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,cross-cutting,epic,phase1,QA; Security & Performance,SD1,project-lead,48,950400,Sprint 1,14/Sep/26,01/Feb/27,SMS-MVP-1.0,To Do
1017,,Epic,INF: DevOps & Infrastructure,"Goal: Deploy and roll back in one command, with monitoring and a restore that has actually been tested. | Track: Cross-cutting. | Done when: reviewed, unit and integration tested, acceptance criteria met, documentation updated, deployed to staging, QA signed off, no open P1 or P2 defects.",High,cross-cutting,epic,phase1,DevOps & Infrastructure,JD1,project-lead,27,460800,Sprint 1,14/Sep/26,01/Feb/27,SMS-MVP-1.0,To Do
